Date	App Name	App Apple Identifier	Event	Page Type	Page Title	Source Type	Source Info	Campaign	Engagement Type	Device	Platform Version	Territory	Counts	Unique Counts
2026-08-02	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	MX	10	10
2026-08-02	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	5	5
2026-08-03	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPad	iOS 26.5	CN	5	5
2026-08-03	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	US	6	5
2026-08-03	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	17	12
2026-08-03	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	14	10
2026-08-03	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	MX	19	18
2026-08-04	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	US	23	23
2026-08-04	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	21	17
2026-08-04	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	12	9
2026-08-03	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	MX	20	18
2026-08-04	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	MX	26	24
2026-08-04	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPad	iOS 26.5	US	8	8
2026-08-05	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	MX	16	11
2026-08-05	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	12	5
2026-08-05	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	US	7	7
2026-08-06	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.6	ES	5	5
2026-08-06	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	13	8
2026-08-06	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.6	MX	5	5
2026-08-06	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	5	5
2026-08-07	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	7	7
2026-08-08	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	MX	12	8
2026-08-08	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.6	MX	7	7
2026-08-08	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPad	iOS 26.5	US	18	11
2026-08-08	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	US	26	23
2026-08-08	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	20	13
2026-08-08	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.6	BR	7	7
2026-08-08	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPad	iOS 26.5	MX	9	9
2026-08-09	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	7	7
2026-08-10	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.6	MX	6	6
2026-08-10	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	8	5
2026-08-10	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store browse				iPhone	iOS 26.6	MX	6	6
2026-07-05	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	US	6	6
2026-02-19	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.2	BR	23	12
2026-07-05	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	10	7
2026-02-19	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.2	MX	10	5
2026-07-05	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	8	8
2026-02-19	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.2	US	7	7
2026-02-19	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.2	NO	8	8
2026-06-21	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	9	9
2026-05-29	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.4	BR	9	5
2026-05-29	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	6	6
2026-04-10	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	BR	6	6
2026-05-15	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.4	ES	5	5
2026-04-10	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	CO	5	5
2026-05-15	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	MX	5	5
2026-03-03	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	ES	8	7
2026-05-15	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	BR	8	8
2026-05-01	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	GT	5	5
2026-05-15	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.4	BR	5	5
2026-05-01	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	US	5	5
2026-06-09	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPad	iOS 26.5	CN	6	6
2026-05-01	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	BR	6	6
2026-06-09	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	11	11
2026-02-20	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 18.6	BR	7	7
2026-06-09	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	13	10
2026-02-20	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.2	BR	9	6
2026-06-08	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	5	5
2026-02-20	BLW Baby Led Weaning Tracker	6758321287	Page view	Product page	Default product page	App Store search				iPhone	iOS 26.2	BR	5	5
2026-06-08	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	MX	7	7
2026-06-08	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	12	8
2026-05-10	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	ES	5	5
2026-04-29	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	BR	19	13
2026-04-29	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	ES	6	6
2026-03-22	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 18.4	US	7	7
2026-03-23	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	ES	12	6
2026-04-06	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	BR	6	6
