Apple Identifier,Begin Date,CMB,Category,Client,Country Code,Currency of Proceeds,Customer Currency,Customer Price,Developer,Developer Proceeds,Device,End Date,Order Type,Parent Identifier,Period,Preserved Pricing,Proceeds Reason,Product Type Identifier,Promo Code,Provider,Provider Country,SKU,Subscription,Supported Platforms,Title,Units,Version,_report_date
6758321287,08/17/2026,,Health & Fitness, ,DE,EUR,EUR,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/17/2026, , , , , ,7F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Baby Led Weaning Tracker,1,1.5.1,2026-08-17
6758321287,08/17/2026,,Health & Fitness, ,PT,EUR,EUR,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/17/2026, , , , , ,7F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Baby Led Weaning Tracker,2,1.5.1,2026-08-17
6758321287,08/17/2026,,Health & Fitness, ,PT, ,EUR,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/17/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Baby Led Weaning Tracker,1,1.5.1,2026-08-17
6780053808,08/17/2026,,Health & Fitness, ,US,USD,USD,19.99, ,16.99,iPhone,08/17/2026, ,com.gambit.blwbaby.2024,1 Year, , ,IAY, ,APPLE,US,com.bemestar.poc.pro.yearly,Renewal,iOS,BLW Pro Yearly,1,1.5.1,2026-08-17
6758321287,08/17/2026,,Health & Fitness, ,SV,USD,USD,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/17/2026, , , , , ,7F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Baby Led Weaning Tracker,1,1.5.1,2026-08-17
6758321287,08/17/2026,,Health & Fitness, ,ES,EUR,EUR,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/17/2026, , , , , ,7F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Baby Led Weaning Tracker,1,1.5.1,2026-08-17
6758321287,08/17/2026,,Health & Fitness, ,BR,BRL,BRL,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/17/2026, , , , , ,7F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Baby Led Weaning Tracker,2,1.5.1,2026-08-17
6758321287,08/17/2026,,Health & Fitness, ,CL,CLP,CLP,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/17/2026, , , , , ,3F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Baby Led Weaning Tracker,1,1.5.1,2026-08-17
6758321287,08/17/2026,,Health & Fitness, ,US, ,USD,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/17/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Baby Led Weaning Tracker,1,1.5.1,2026-08-17
6758321287,08/16/2026,,Health & Fitness, ,JP,JPY,JPY,0.00,Joao Victor Flores da Costa,0.00,Desktop,08/16/2026, , , , , ,3F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Baby Led Weaning Tracker,1,1.5.1,2026-08-16
6758321287,08/16/2026,,Health & Fitness, ,AU, ,AUD,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/16/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Baby Led Weaning Tracker,1,1.5.1,2026-08-16
6758321287,08/16/2026,,Health & Fitness, ,ES,EUR,EUR,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/16/2026, , , , , ,7F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Baby Led Weaning Tracker,2,1.5.1,2026-08-16
6758321287,08/16/2026,,Health & Fitness, ,CA, ,CAD,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/16/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Baby Led Weaning Tracker,1,1.5.1,2026-08-16
6758321287,08/16/2026,,Health & Fitness, ,BR,BRL,BRL,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/16/2026, , , , , ,7F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Baby Led Weaning Tracker,1,1.5.1,2026-08-16
6758321287,08/16/2026,,Health & Fitness, ,CO,COP,COP,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/16/2026, , , , , ,7F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Baby Led Weaning Tracker,1,1.5.1,2026-08-16
6758321287,08/16/2026,,Health & Fitness, ,BR, ,BRL,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/16/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Baby Led Weaning Tracker,1,1.5.1,2026-08-16
6758321287,08/16/2026,,Health & Fitness, ,MX,MXN,MXN,0.00,Joao Victor Flores da Costa,0.00,iPhone,08/16/2026, , , , , ,7F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Baby Led Weaning Tracker,1,1.5.1,2026-08-16
6780053806,08/16/2026,,Health & Fitness, ,PT,EUR,EUR,0.00, ,0.00,iPhone,08/16/2026,Free Trial Intro Offer,com.gambit.blwbaby.2024, , , ,IAY,FREE,APPLE,US,com.bemestar.poc.pro.weekly,New,iOS,BLW Pro Weekly,1,1.5.0,2026-08-16
